level_0,Date,1_Day_returns,5_Day_returns,10_Day_returns
AMZN,2017-07-05,0.0186020717751596,-0.005507898115694743,-0.021348191970592678
AMZN,2017-07-06,-0.006444317076686246,-0.025435967815485294,-0.03700743995202105
AMZN,2017-07-07,0.014111937035528266,0.002899815674364481,-0.022510714373447316
AMZN,2017-07-10,0.018094283338916606,0.029411126759426587,-0.007242931039892597
AMZN,2017-07-11,-0.0023482552300712056,0.042436542245595454,0.0001509330338742565
AMZN,2017-07-12,0.012453104545689486,0.03614369412100893,0.030436720220570868
AMZN,2017-07-13,-0.0058419735777707205,0.03677185661740756,0.010400561040486256
AMZN,2017-07-14,0.00117924974268524,0.0235501936766791,0.02651830057180149
AMZN,2017-07-17,0.00821511113764739,0.013618079543976203,0.043429729367090664
AMZN,2017-07-18,0.014266735434249389,0.030498975124120253,0.07422978841601768
AMZN,2017-07-19,0.002362286163949845,0.020228298927999155,0.057103118498050165
AMZN,2017-07-20,0.0017820717942766962,0.028052273219959956,0.06585566400600418
AMZN,2017-07-21,-0.0029453751048699184,0.023816937787470183,0.047928024961829685
AMZN,2017-07-24,0.012947543223043256,0.028622602840923106,0.04263046726714248
AMZN,2017-07-25,0.0008855517479688935,0.015052022724656666,0.046010069115423935
AMZN,2017-07-26,0.012434298298491075,0.02525154482479386,0.04599063954990279
AMZN,2017-07-27,-0.006459012645083084,0.016817390540766697,0.04534142979502298
AMZN,2017-07-28,-0.0248183766468989,-0.005489158966086483,0.018197043863782847
AMZN,2017-07-31,-0.031626161155816956,-0.04925157541735603,-0.022038680858893822
AMZN,2017-08-01,0.008514014147985582,-0.04200524381017334,-0.027585484969902097
AMZN,2017-08-02,-0.0003011351170294496,-0.05405588102226466,-0.030169330700148156
AMZN,2017-08-03,-0.009007050584243226,-0.05648185190233623,-0.04061433872347697
AMZN,2017-08-04,0.0006687818578170468,-0.031822243869573,-0.03713672548040181
AMZN,2017-08-07,0.004748984750852392,0.004545536557942986,-0.04492991369600885
AMZN,2017-08-08,-0.002448922801204012,-0.006374261506715939,-0.04811175290818992
AMZN,2017-08-09,-0.007910386403263803,-0.01393728692792684,-0.06723977562624228
AMZN,2017-08-10,-0.025549665080763284,-0.030397601142433284,-0.08516254023885639
AMZN,2017-08-11,0.011568373032145196,-0.019836394536612567,-0.05102739982174842
AMZN,2017-08-14,0.015816276731215773,-0.009039910066534818,-0.004535464750279772
AMZN,2017-08-15,-0.0005695083550755209,-0.0071729132268465445,-0.013501452708889583
AMZN,2017-08-16,-0.00464008547927941,-0.003900181313587492,-0.017783110295475857
AMZN,2017-08-17,-0.018002806726184373,0.0038143465276607724,-0.02669920159913941
AMZN,2017-08-18,-0.002186240050263133,-0.009834832619441625,-0.029476139536013468
AMZN,2017-08-21,-0.005404439193834376,-0.03051968894353685,-0.03928370376676349
AMZN,2017-08-22,0.014276921713666013,-0.01611816551449663,-0.02317546453873176
AMZN,2017-08-23,-0.009204699751099832,-0.020630142537039098,-0.024449862554207002
AMZN,2017-08-24,-0.005793306673245069,-0.008453309030339917,-0.0046712063526263
AMZN,2017-08-25,-0.007548955167469118,-0.01378234200473627,-0.023481627597457422
AMZN,2017-08-28,0.0008040219175393659,-0.007626177410505863,-0.037913117791645856
AMZN,2017-08-29,0.00849873983779692,-0.013279580650801814,-0.02918370368640577
AMZN,2017-08-30,0.014181528762863937,0.01001046644620951,-0.010826193440477083
AMZN,2017-08-31,0.013445724293737582,0.029555318408445164,0.0208521691381085
AMZN,2017-09-01,-0.002396467106307365,0.0349004399779429,0.020637088173314888
AMZN,2017-09-05,-0.013268571907743443,0.02034840659031545,0.012567048621130672
AMZN,2017-09-06,0.00262099538007754,0.014401599762630335,0.0009307719062801034
AMZN,2017-09-07,0.012058258997057036,0.01227786926066643,0.02241124290514085
AMZN,2017-09-08,-0.013854377055910305,-0.0149907725248426,0.014121488828442219
AMZN,2017-09-11,0.01248576172871485,-0.0002964252771211484,0.034593669328229826
AMZN,2017-09-12,0.004724114496897691,0.017932803472959558,0.03864611403964702
AMZN,2017-09-13,0.017321702253321414,0.032858016319557315,0.04773282408221591
AMZN,2017-09-14,-0.00739291095815553,0.01300708714978338,0.025444655725936904
AMZN,2017-09-15,-0.005462597459494178,0.02162744909956249,0.006312464404975682
AMZN,2017-09-18,-0.012768649729424375,-0.0038549832779927184,-0.004150265840627387
AMZN,2017-09-19,-0.004444735707605618,-0.012945542873907367,0.004755110722843625
AMZN,2017-09-20,0.0034541445896227874,-0.02640051446361047,0.005590033320856724
AMZN,2017-09-21,-0.008795632356151661,-0.027776374908812684,-0.015130577488173369
AMZN,2017-09-22,-0.00990001408430563,-0.03211423215379283,-0.01118133197550808
AMZN,2017-09-25,-0.01602973295984156,-0.03531141186817044,-0.039030270243889054
AMZN,2017-09-26,-0.0012662429577128265,-0.032231466642366535,-0.04475975568296631
AMZN,2017-09-27,0.013072682559564619,-0.022954990547863874,-0.048749481451503485
AMZN,2017-09-28,0.005815757490795104,-0.00855232446089571,-0.036091146799140716
AMZN,2017-09-29,0.005175607533999704,0.006543817568590793,-0.025780564261771777
AMZN,2017-10-02,-0.00224681250261094,0.0206429360470346,-0.015397407038061028
AMZN,2017-10-03,-0.0021789497911248734,0.01971020720350114,-0.01315654832485913
AMZN,2017-10-04,0.008724309721125811,0.015333344373798408,-0.007973622949233317
AMZN,2017-10-05,0.01595107274762131,0.025564565608260148,0.016793604687580954
AMZN,2017-10-06,0.0089004860286519,0.0293649994495504,0.036100976217440905
AMZN,2017-10-09,0.0014248197418917918,0.033152960010038646,0.05448027049033022
AMZN,2017-10-10,-0.003824436235170703,0.031449208430567976,0.05177928604862192
AMZN,2017-10-11,0.007901122058873167,0.030607475704948373,0.046410135044143264
AMZN,2017-10-12,0.005959791633951106,0.020472057490594775,0.04655998235570946
AMZN,2017-10-13,0.002008142208079544,0.013500662019077181,0.04326210840138622
AMZN,2017-10-16,0.003390057636335264,0.015489598050796971,0.04915608408558536
AMZN,2017-10-17,0.0027724009309870734,0.022214335904183757,0.05436216761474899
AMZN,2017-10-18,-0.012020259851673987,0.0020100502512563345,0.03267904852043557
AMZN,2017-10-19,-0.010421278483889185,-0.014306702195961973,0.005872467664776337
AMZN,2017-10-20,-0.0037502278123738852,-0.019971313586173545,-0.0067402775219004285
AMZN,2017-10-23,-0.01689878605913797,-0.039787783446926905,-0.024914482169054897
AMZN,2017-10-24,0.009934840880025497,-0.03292933547507482,-0.011446502890235966
AMZN,2017-10-25,-0.0030638909670347436,-0.02416251439866479,-0.022201032015546462
AMZN,2017-10-26,-0.0004933452035635888,-0.014372439855986685,-0.028473519835099603
AMZN,2017-10-27,0.13216371303239272,0.12009235967940124,0.09772264391876684
AMZN,2017-10-30,0.008992256554010147,0.14959121351447102,0.10385152725866731
AMZN,2017-10-31,-0.0050141300909013475,0.13257506060673907,0.09528011648531653
AMZN,2017-11-01,-0.0014475748620512707,0.13441128591142482,0.10700105688158223
AMZN,2017-11-02,-0.008571399814651492,0.12524292642622137,0.109070440142786
AMZN,2017-11-03,0.01588346525209583,0.009673486431173828,0.1309275579224214
AMZN,2017-11-06,0.008150466708110926,0.008831128243555586,0.159743400948682
AMZN,2017-11-07,0.002239760220825948,0.01618595665735345,0.15090687144891923
AMZN,2017-11-08,0.008645138810319697,0.026456898513020244,0.16442429017480809
AMZN,2017-11-09,-0.0033101475741801334,0.03190403676991482,0.1611427181260099
AMZN,2017-11-10,-0.0033477361158844587,0.012369557666418896,0.022162700845838268
AMZN,2017-11-13,0.0033945603076821484,0.007593747886132318,0.016491937491119657
AMZN,2017-11-14,0.006792530421902976,0.012170839089495455,0.028553792420835
AMZN,2017-11-15,-0.008928279018356355,-0.005464006293590451,0.020848331559445654
AMZN,2017-11-16,0.009408176346209052,0.007226833176339431,0.03936143509764212
AMZN,2017-11-17,-0.006515518403551468,0.00402544043644415,0.016444791020474137
AMZN,2017-11-20,-0.0031595800205640456,-0.0025328207800923153,0.00504169350359529
AMZN,2017-11-21,0.011701868007004013,0.0023310443806840997,0.01453025423624732
AMZN,2017-11-22,0.014629390418676502,0.026156346737821412,0.020549422001038042
AMZN,2017-11-24,0.025809546203077627,0.04282984925960753,0.05036620661151403
AMZN,2017-11-27,0.0082883271961951,0.05836898687194236,0.06262938818837505
